customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Churn_Probability,Segment_Name,Estimated_CLV,Retention_Action
6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,0,0.05572953,Low Value / Low Tenure,992.2925603866577,Low Risk: Upsell Premium Channels
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,1,0.7290357,High Value / High Tenure,136.27591269016264,Offer 20% discount on Annual Upgrade
8665-UTDHZ,Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,1,0.7663044,High Value / Low Tenure (High Risk),39.40992918014526,Offer 20% discount on Annual Upgrade
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,0,0.0003733576,High Value / High Tenure,9025.0,Low Risk: Upsell Premium Channels
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,1,0.33484626,Low Value / Low Tenure,193.22300369739534,Monitor Account
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,0,0.0013956984,High Value / High Tenure,9635.0,Low Risk: Upsell Premium Channels
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,0,0.93140626,Low Value / Low Tenure,102.5331312417984,Offer 20% discount on Annual Upgrade
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,0,0.031244755,Low Value / Low Tenure,2117.155297851563,Low Risk: Upsell Premium Channels
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,0,0.35969424,High Value / Low Tenure (High Risk),56.15880718231201,Monitor Account
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,0,0.3160766,Low Value / Low Tenure,143.16149693727493,Monitor Account
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,0,0.0011918333,High Value / High Tenure,9990.0,Low Risk: Upsell Premium Channels
6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,1,0.45719677,Low Value / Low Tenure,152.45076956748963,Monitor Account
6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,0,0.3076981,High Value / High Tenure,243.09541673660277,Monitor Account
5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,1,0.87421787,High Value / High Tenure,121.65160099267959,Offer 20% discount on Annual Upgrade
8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,1,0.9409758,Low Value / Low Tenure,103.98779945969581,Offer 20% discount on Annual Upgrade
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,0,0.028198779,Low Value / Low Tenure,1757.1682737350463,Low Risk: Upsell Premium Channels
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,0,0.023785647,High Value / High Tenure,2909.3174743652344,Low Risk: Upsell Premium Channels
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,0,0.0053280666,High Value / Low Tenure (High Risk),2075.0,Low Risk: Upsell Premium Channels
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,0,0.00614345,High Value / High Tenure,7984.999999999999,Low Risk: Upsell Premium Channels
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,0,0.08062922,Low Value / Low Tenure,945.0668054580689,Low Risk: Upsell Premium Channels
3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,0,0.7323687,High Value / High Tenure,115.37904632091522,Offer 20% discount on Annual Upgrade
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,0,0.23779061,Low Value / Low Tenure,207.1149866580963,Monitor Account
7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,1,0.72348017,Low Value / Low Tenure,111.4750647544861,Offer 20% discount on Annual Upgrade
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,0,0.0060705645,High Value / High Tenure,7975.0,Low Risk: Upsell Premium Channels
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,0,0.006928667,High Value / High Tenure,6415.000000000001,Low Risk: Upsell Premium Channels
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,0,0.28826463,High Value / High Tenure,313.0803791284561,Monitor Account
9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,1,0.89173794,Low Value / Low Tenure,111.13130692243575,Offer 20% discount on Annual Upgrade
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,0,0.08428777,Low Value / Low Tenure,824.5561747550964,Low Risk: Upsell Premium Channels
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,1,0.82403,Low Value / Low Tenure,97.87265138030052,Offer 20% discount on Annual Upgrade
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,0,0.02791915,High Value / High Tenure,2680.955373573303,Low Risk: Upsell Premium Channels
1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,1,0.64508045,Low Value / Low Tenure,147.96604244709016,Offer free Tech Support visit / Router check
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,0,0.06868897,High Value / High Tenure,1450.7424846172335,Low Risk: Upsell Premium Channels
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,0,0.07997405,High Value / High Tenure,1356.0648706912996,Low Risk: Upsell Premium Channels
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,0,0.006681303,High Value / Low Tenure (High Risk),2495.0,Low Risk: Upsell Premium Channels
5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,0,0.020978456,High Value / High Tenure,5124.30459022522,Low Risk: Upsell Premium Channels
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,0,0.35764056,High Value / High Tenure,281.00839948654175,Monitor Account
1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,0,0.14303513,High Value / High Tenure,628.5169364452363,Low Risk: Upsell Premium Channels
0526-SXDJP,Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,0,0.0007726895,High Value / High Tenure,4210.0,Low Risk: Upsell Premium Channels
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,0,0.088818535,Low Value / Low Tenure,612.484765625,Low Risk: Upsell Premium Channels
5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,1,0.912059,Low Value / Low Tenure,103.5020751953125,Offer 20% discount on Annual Upgrade
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,0,0.34849307,Low Value / Low Tenure,216.0731645822525,Monitor Account
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,0,0.0780806,High Value / High Tenure,1010.4942841529847,Low Risk: Upsell Premium Channels
3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,0,0.008479629,Low Value / Low Tenure,7920.0,Low Risk: Upsell Premium Channels
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,0,0.0017897844,High Value / Low Tenure (High Risk),2014.9999999999998,Low Risk: Upsell Premium Channels
7410-OIEDU,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,0,0.06897271,Low Value / Low Tenure,1157.7043008327482,Low Risk: Upsell Premium Channels
2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,0,0.13123341,Low Value / Low Tenure,373.761532330513,Low Risk: Upsell Premium Channels
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,0,0.015211191,High Value / Low Tenure (High Risk),1341.117901611328,Low Risk: Upsell Premium Channels
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,0,0.013264879,High Value / High Tenure,8413.194424438476,Low Risk: Upsell Premium Channels
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,0,0.00012842179,High Value / Low Tenure (High Risk),2425.0,Low Risk: Upsell Premium Channels
5630-AHZIL,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,0,0.19114551,Low Value / Low Tenure,337.4392640590668,Low Risk: Upsell Premium Channels
2673-CXQEU,Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,0,0.19522537,High Value / High Tenure,566.0124802589417,Low Risk: Upsell Premium Channels
6416-JNVRK,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,0,0.073219076,High Value / Low Tenure (High Risk),760.0478506565094,Low Risk: Upsell Premium Channels
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,0,0.051710244,Low Value / Low Tenure,1056.8505376815795,Low Risk: Upsell Premium Channels
0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,0,0.15036564,Low Value / Low Tenure,497.1215467453003,Low Risk: Upsell Premium Channels
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,0,0.01170451,High Value / Low Tenure (High Risk),2212.8221603393554,Low Risk: Upsell Premium Channels
5919-TMRGD,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,1,0.95980597,Low Value / Low Tenure,82.67296135425568,Offer 20% discount on Annual Upgrade
8108-UXRQN,Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,0,0.118420355,Low Value / Low Tenure,426.86918420791625,Low Risk: Upsell Premium Channels
9191-MYQKX,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,1,0.63534045,Low Value / Low Tenure,118.2830362379551,Offer free Tech Support visit / Router check
9919-YLNNG,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,0,0.3746209,High Value / High Tenure,277.0801043987274,Monitor Account
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,0,0.0038117392,High Value / Low Tenure (High Risk),2014.9999999999998,Low Risk: Upsell Premium Channels
4445-ZJNMU,Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,0,0.6004854,Low Value / Low Tenure,165.36622066497802,Offer free Tech Support visit / Router check
4808-YNLEU,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,0,0.04741337,Low Value / Low Tenure,1310.8116709709168,Low Risk: Upsell Premium Channels
1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,0,0.002247149,High Value / Low Tenure (High Risk),2065.0,Low Risk: Upsell Premium Channels
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,0,0.0066030077,High Value / Low Tenure (High Risk),1995.0,Low Risk: Upsell Premium Channels
3016-KSVCP,Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,0,0.105863474,High Value / Low Tenure (High Risk),318.806848526001,Low Risk: Upsell Premium Channels
4767-HZZHQ,Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,0,0.25767887,Low Value / Low Tenure,318.41960159540173,Monitor Account
2424-WVHPL,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,0,0.55321026,Low Value / Low Tenure,135.03003687858583,Monitor Account
7233-PAHHL,Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,0,0.018526249,High Value / High Tenure,4534.107192993164,Low Risk: Upsell Premium Channels
6067-NGCEU,Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,0,0.020827418,High Value / High Tenure,5331.914025497436,Low Risk: Upsell Premium Channels
9848-JQJTX,Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,0,0.03344931,High Value / High Tenure,3016.5046586990356,Low Risk: Upsell Premium Channels
8637-XJIVR,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,1,0.42177916,Low Value / Low Tenure,187.18326362371445,Monitor Account
9803-FTJCG,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,0,0.0010288816,High Value / High Tenure,6684.999999999999,Low Risk: Upsell Premium Channels
0278-YXOOG,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,1,0.24860062,High Value / Low Tenure (High Risk),84.6739670753479,Monitor Account
3212-KXOCR,Male,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,0,0.012378752,High Value / Low Tenure (High Risk),1696.4552764892578,Low Risk: Upsell Premium Channels
4598-XLKNJ,Female,1,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,1,0.9191479,Low Value / Low Tenure,107.1644714474678,Offer 20% discount on Annual Upgrade
6380-ARCEH,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,0,0.5181032,High Value / Low Tenure (High Risk),38.98837325572968,Monitor Account
3679-XASPY,Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,0,0.225442,High Value / Low Tenure (High Risk),86.27495739459991,Monitor Account
7123-WQUHX,Male,0,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,0,0.08957785,High Value / High Tenure,1060.5299472808838,Low Risk: Upsell Premium Channels
5386-THSLQ,Female,1,Yes,No,66,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,0,0.042061668,High Value / High Tenure,1082.9337697982787,Low Risk: Upsell Premium Channels
3192-NQECA,Male,0,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,1,0.68567914,High Value / High Tenure,160.42489290237427,Offer free Tech Support visit / Router check
6180-YBIQI,Male,0,No,No,5,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,100.2,0,0.2516771,High Value / Low Tenure (High Risk),96.55229029655457,Monitor Account
6728-DKUCO,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.15,7303.05,0,0.0019150377,High Value / High Tenure,10415.0,Low Risk: Upsell Premium Channels
9750-BOOHV,Female,0,No,No,32,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,30.15,927.65,0,0.019367505,High Value / Low Tenure (High Risk),1556.7312520980834,Low Risk: Upsell Premium Channels
8597-CWYHH,Male,0,No,No,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,94.35,3921.3,0,0.07715675,High Value / High Tenure,1222.835299873352,Low Risk: Upsell Premium Channels
2848-YXSMW,Male,0,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,1363.25,0,0.0002120347,High Value / Low Tenure (High Risk),1939.9999999999998,Low Risk: Upsell Premium Channels
0486-HECZI,Male,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,1,0.568608,High Value / High Tenure,170.15238091349602,Monitor Account
4549-ZDQYY,Female,0,No,No,52,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),57.95,3042.25,0,0.028806197,High Value / High Tenure,2011.719889831543,Low Risk: Upsell Premium Channels
